config,group,case,target,mode,policy,n,latency_mean,latency_p95,paired_reduction_pct,ci95_low,ci95_high
flux2_klein4b_double_scaled_attention_aggregate_cond_resident__two_core__deterministic,fusion_conditioning_sensitivity,flux2_klein4b_double_scaled_attention_aggregate_cond_resident,two_core,deterministic,B_order0,32,9664.0,9664.0,-1.6193480546792849,-1.6193480546792849,-1.6193480546792849
flux2_klein4b_double_scaled_attention_aggregate_cond_resident__two_core__deterministic,fusion_conditioning_sensitivity,flux2_klein4b_double_scaled_attention_aggregate_cond_resident,two_core,deterministic,B_order2,32,9702.0,9702.0,-2.0189274447949526,-2.0189274447949526,-2.0189274447949526
flux2_klein4b_double_scaled_attention_aggregate_cond_resident__two_core__service,fusion_conditioning_sensitivity,flux2_klein4b_double_scaled_attention_aggregate_cond_resident,two_core,service,B_order0,32,9910.451940615427,11131.458315948781,-1.0782001764535134,-1.5967268133613532,-0.5596735395456737
flux2_klein4b_double_scaled_attention_aggregate_cond_resident__two_core__service,fusion_conditioning_sensitivity,flux2_klein4b_double_scaled_attention_aggregate_cond_resident,two_core,service,B_order2,32,9949.720882326917,11169.458315948781,-1.4820464792667267,-1.9961939941238431,-0.9678989644096102
flux2_klein4b_double_scaled_attention_aggregate_cond_resident__two_core__calendar,fusion_conditioning_sensitivity,flux2_klein4b_double_scaled_attention_aggregate_cond_resident,two_core,calendar,B_order0,32,13361.513467009207,13618.0,-1.6639138215212292,-2.3175745879364436,-1.010253055106015
flux2_klein4b_double_scaled_attention_aggregate_cond_resident__two_core__calendar,fusion_conditioning_sensitivity,flux2_klein4b_double_scaled_attention_aggregate_cond_resident,two_core,calendar,B_order2,32,13460.903939615431,13674.0,-2.4206029357977066,-3.044270193487359,-1.796935678108054
flux2_klein4b_double_scaled_attention_aggregate_cond_resident__two_core__combined,fusion_conditioning_sensitivity,flux2_klein4b_double_scaled_attention_aggregate_cond_resident,two_core,combined,B_order0,32,13613.356570922007,16055.261982246471,-1.2408320946061726,-1.7053833697515548,-0.7762808194607904
flux2_klein4b_double_scaled_attention_aggregate_cond_resident__two_core__combined,fusion_conditioning_sensitivity,flux2_klein4b_double_scaled_attention_aggregate_cond_resident,two_core,combined,B_order2,32,13645.88684089664,16066.261982246471,-1.4943056316855794,-1.9768005520639846,-1.0118107113071741
flux2_klein4b_single_scaled_attention_aggregate_cond_resident__two_core__deterministic,fusion_conditioning_sensitivity,flux2_klein4b_single_scaled_attention_aggregate_cond_resident,two_core,deterministic,B_order0,32,8462.0,8462.0,0.0,0.0,0.0
flux2_klein4b_single_scaled_attention_aggregate_cond_resident__two_core__deterministic,fusion_conditioning_sensitivity,flux2_klein4b_single_scaled_attention_aggregate_cond_resident,two_core,deterministic,B_order2,32,8484.0,8484.0,-0.2599858189553297,-0.2599858189553297,-0.2599858189553297
flux2_klein4b_single_scaled_attention_aggregate_cond_resident__two_core__service,fusion_conditioning_sensitivity,flux2_klein4b_single_scaled_attention_aggregate_cond_resident,two_core,service,B_order0,32,8433.90513745728,9347.039529452153,0.0,0.0,0.0
flux2_klein4b_single_scaled_attention_aggregate_cond_resident__two_core__service,fusion_conditioning_sensitivity,flux2_klein4b_single_scaled_attention_aggregate_cond_resident,two_core,service,B_order2,32,8455.90513745728,9369.039529452153,-0.26211241053413237,-0.26849270252907614,-0.2557321185391886
flux2_klein4b_single_scaled_attention_aggregate_cond_resident__two_core__calendar,fusion_conditioning_sensitivity,flux2_klein4b_single_scaled_attention_aggregate_cond_resident,two_core,calendar,B_order0,32,10533.649146337664,10592.25,0.0048187275558702865,-0.011530101468865715,0.021167556580606286
flux2_klein4b_single_scaled_attention_aggregate_cond_resident__two_core__calendar,fusion_conditioning_sensitivity,flux2_klein4b_single_scaled_attention_aggregate_cond_resident,two_core,calendar,B_order2,32,10556.23228556263,10608.25,-0.20963511514346456,-0.2644300157466942,-0.1548402145402349
flux2_klein4b_single_scaled_attention_aggregate_cond_resident__two_core__combined,fusion_conditioning_sensitivity,flux2_klein4b_single_scaled_attention_aggregate_cond_resident,two_core,combined,B_order0,32,10494.257870852882,11903.75735070607,0.0,0.0,0.0
flux2_klein4b_single_scaled_attention_aggregate_cond_resident__two_core__combined,fusion_conditioning_sensitivity,flux2_klein4b_single_scaled_attention_aggregate_cond_resident,two_core,combined,B_order2,32,10513.44917928066,11927.224517666555,-0.1788521140427647,-0.22497849053572533,-0.13272573754980405
qwen35_full_decode__split_engine_ports__service,pipeline_port_sensitivity,qwen35_full_decode,split_engine_ports,service,B_order0,32,9100.628410004661,10274.168790999352,0.1117971280580356,0.08039861322105181,0.1431956428950194
qwen35_full_decode__split_engine_ports__service,pipeline_port_sensitivity,qwen35_full_decode,split_engine_ports,service,B_order2,32,9133.065910004661,10304.168790999352,-0.24701195720105534,-0.2927896641468435,-0.20123425025526723
qwen35_full_decode__split_engine_ports__calendar,pipeline_port_sensitivity,qwen35_full_decode,split_engine_ports,calendar,B_order0,32,11884.638715928815,11932.249999992498,0.0,0.0,0.0
qwen35_full_decode__split_engine_ports__calendar,pipeline_port_sensitivity,qwen35_full_decode,split_engine_ports,calendar,B_order2,32,11914.571627672576,11963.0,-0.2519249497113719,-0.28966965547746015,-0.21418024394528368
qwen35_linear_decode__split_engine_ports__service,pipeline_port_sensitivity,qwen35_linear_decode,split_engine_ports,service,B_order0,32,11423.591453199451,13351.723754841194,-0.27791599698205255,-0.31835421486133997,-0.23747777910276516
qwen35_linear_decode__split_engine_ports__service,pipeline_port_sensitivity,qwen35_linear_decode,split_engine_ports,service,B_order2,32,11458.466453199451,13385.723754841194,-0.5863456681533147,-0.6336176071951181,-0.5390737291115113
qwen35_linear_decode__split_engine_ports__calendar,pipeline_port_sensitivity,qwen35_linear_decode,split_engine_ports,calendar,B_order0,32,15210.052399003118,15263.061641894294,-0.30436375629741197,-0.3360120666542624,-0.2727154459405615
qwen35_linear_decode__split_engine_ports__calendar,pipeline_port_sensitivity,qwen35_linear_decode,split_engine_ports,calendar,B_order2,32,15243.788464791392,15293.061206522672,-0.5269218851666224,-0.5766150270823548,-0.47722874325089004
flux2_klein4b_double_scaled__split_engine_ports__service,pipeline_port_sensitivity,flux2_klein4b_double_scaled,split_engine_ports,service,B_order0,32,15197.776320577268,16473.794370379976,0.5056278208094888,0.15666666046555588,0.8545889811534216
flux2_klein4b_double_scaled__split_engine_ports__service,pipeline_port_sensitivity,flux2_klein4b_double_scaled,split_engine_ports,service,B_order2,32,15244.846959692844,16521.794370379976,0.19679702605034707,-0.15224059608988336,0.5458346481905775
flux2_klein4b_double_scaled__split_engine_ports__calendar,pipeline_port_sensitivity,flux2_klein4b_double_scaled,split_engine_ports,calendar,B_order0,32,19235.42504198971,19334.94460049767,0.0,0.0,0.0
flux2_klein4b_double_scaled__split_engine_ports__calendar,pipeline_port_sensitivity,flux2_klein4b_double_scaled,split_engine_ports,calendar,B_order2,32,19279.913383278887,19363.496049773417,-0.2316740628132178,-0.3208229384831881,-0.1425251871432475
flux2_klein4b_single_scaled__split_engine_ports__service,pipeline_port_sensitivity,flux2_klein4b_single_scaled,split_engine_ports,service,B_order0,32,12471.4158741357,13435.526395582958,-0.7691664341523229,-0.7814388057427879,-0.7568940625618579
flux2_klein4b_single_scaled__split_engine_ports__service,pipeline_port_sensitivity,flux2_klein4b_single_scaled,split_engine_ports,service,B_order2,32,12505.4158741357,13469.526395582958,-1.0444470526910485,-1.0611116414823114,-1.0277824638997857
flux2_klein4b_single_scaled__split_engine_ports__calendar,pipeline_port_sensitivity,flux2_klein4b_single_scaled,split_engine_ports,calendar,B_order0,32,15379.42955588922,15449.25,-0.9588228142730111,-1.0350932489052973,-0.8825523796407249
flux2_klein4b_single_scaled__split_engine_ports__calendar,pipeline_port_sensitivity,flux2_klein4b_single_scaled,split_engine_ports,calendar,B_order2,32,15408.226861160048,15482.154633153341,-1.1475761772928172,-1.18484395830847,-1.1103083962771645
qwen35_full_decode_attention_fused__split_engine_ports__service,pipeline_port_sensitivity,qwen35_full_decode_attention_fused,split_engine_ports,service,B_order0,32,9104.246794360772,10274.168790999352,0.10909164766646375,0.07707904080497771,0.14110425452794978
qwen35_full_decode_attention_fused__split_engine_ports__service,pipeline_port_sensitivity,qwen35_full_decode_attention_fused,split_engine_ports,service,B_order2,32,9135.996794360772,10304.168790999352,-0.24154343412797186,-0.2834733531323529,-0.1996135151235908
qwen35_full_decode_attention_fused__split_engine_ports__calendar,pipeline_port_sensitivity,qwen35_full_decode_attention_fused,split_engine_ports,calendar,B_order0,32,11866.297973317318,11914.771479214527,0.0,0.0,0.0
